,Unnamed: 0,authors,doi,doiUrl,entities,id,inCitations,journalName,journalPages,journalVolume,outCitations,paperAbstract,pdfUrls,pmid,s2PdfUrl,s2Url,sources,title,venue,year
17254,,"[{'name': 'Suman Samui', 'ids': ['39613679']}, {'name': 'Indrajit Chakrabarti', 'ids': ['1713557']}, {'name': 'Soumya K. Ghosh', 'ids': ['1698848']}]",,,[],5402692fd27bd51579bab5bd8a32a8da339d77a4,[],CoRR,,abs/1812.10095,[],"In recent years, Long Short-Term Memory (LSTM) has become a popular choice for speech separation and speech enhancement task. The capability of LSTM network can be enhanced by widening and adding more layers. However, this would introduce millions of parameters in the network and also increase the requirement of computational resources. These limitations hinders the efficient implementation of RNN models in low-end devices such as mobile phones and embedded systems with limited memory. To overcome these issues, we proposed to use an efficient alternative approach of reducing parameters by representing the weight matrix parameters of LSTM based on Tensor-Train (TT) format. We called this Tensor-Train factorized LSTM as TT-LSTM model. Based on this TT-LSTM units, we proposed a deep TensorNet model for single-channel speech enhancement task. Experimental results in various test conditions and in terms of standard speech quality and intelligibility metrics, demonstrated that the proposed deep TT-LSTM based speech enhancement framework can achieve competitive performances with the state-of-the-art uncompressed RNN model, even though the proposed model architecture is orders of magnitude less complex.","['http://arxiv.org/abs/1812.10095', 'https://arxiv.org/pdf/1812.10095v1.pdf']",,http://pdfs.semanticscholar.org/5402/692fd27bd51579bab5bd8a32a8da339d77a4.pdf,https://semanticscholar.org/paper/5402692fd27bd51579bab5bd8a32a8da339d77a4,['DBLP'],Tensor-Train Long Short-Term Memory for Monaural Speech Enhancement,ArXiv,2018.0
42465,,"[{'name': 'Wei Xia', 'ids': ['37956912']}, {'name': 'Wen Zhu', 'ids': ['46994979']}, {'name': 'Bo Liao', 'ids': ['40295896']}, {'name': 'Min Chen', 'ids': ['1711628']}, {'name': 'Lijun Cai', 'ids': ['3891911']}, {'name': 'Lei Huang', 'ids': ['48545182']}]",10.1016/j.neucom.2018.03.020,https://doi.org/10.1016/j.neucom.2018.03.020,['Long short-term memory'],f425c99ce960c35d414851e5d32a7e95137f909f,[],Neurocomputing,20-31,299,[],,['https://doi.org/10.1016/j.neucom.2018.03.020'],,,https://semanticscholar.org/paper/f425c99ce960c35d414851e5d32a7e95137f909f,['DBLP'],Novel architecture for long short-term memory used in question classification,Neurocomputing,2018.0
43384,,"[{'name': 'Jiuming Lu', 'ids': []}, {'name': 'Raymond K. Wong', 'ids': []}]",10.1145/3290688.3290692,https://doi.org/10.1145/3290688.3290692,[],d5379cb954e87d75a603d29783027f670ec2ca14,[],,1:1-1:10,,[],"Most organizations these days are increasingly threatened by malicious insiders. The traditional cybersecurity system uses historical logs to investigate/prevent attacks from outside a company. However, for insider threats, new models and techniques are required to differentiate normal behaviour from malicious acts. This paper proposes a system, called Insider Catcher, that bases on a deep neural network with Long Short-Term Memory (LSTM) to model system logs as a natural structured sequence. Our system captures patterns that indicate users' normal usage behaviour to differentiate normal behaviour from malicious acts. Experiments show the superior performance of the proposed system over the existing log-based anomaly detection strategies. This is particularly for real-time online cases.",['https://doi.org/10.1145/3290688.3290692'],,,https://semanticscholar.org/paper/d5379cb954e87d75a603d29783027f670ec2ca14,['DBLP'],Insider Threat Detection with Long Short-Term Memory,ACSW,2019.0
50555,,"[{'name': 'Jinho Im', 'ids': ['51173459']}, {'name': 'Byungkyu Brian Park', 'ids': ['24324227']}, {'name': 'Kyungsook Han', 'ids': ['37670434']}]",10.1007/978-3-319-95933-7_91,https://doi.org/10.1007/978-3-319-95933-7_91,"['Artificial neural network', 'Long short-term memory']",36849651befbfc68bcd21da0d6285b045653452e,[],,827-830,,[],,['https://doi.org/10.1007/978-3-319-95933-7_91'],,,https://semanticscholar.org/paper/36849651befbfc68bcd21da0d6285b045653452e,['DBLP'],Finding Protein-Binding Nucleic Acid Sequences Using a Long Short-Term Memory Neural Network,ICIC,2018.0
51638,,"[{'name': 'Chao An', 'ids': ['11513505']}, {'name': 'Jiuming Huang', 'ids': ['3345419']}, {'name': 'Shoufeng Chang', 'ids': ['8793305']}, {'name': 'Zhijie Huang', 'ids': ['2663012']}]",10.1109/DSC.2016.13,https://doi.org/10.1109/DSC.2016.13,"['Artificial neural network', 'Computation', 'Long short-term memory', 'Natural language processing', 'Parsing', 'Question answering', 'Spatial variability', 'WordNet']",7fc5fe75e1b2386eb542f61fb8ad0295b0756a24,[],2016 IEEE First International Conference on Data Science in Cyberspace (DSC),318-322,,"['0eee094383b4ef1ccccae9d50aa9edd60116de1a', '6eb125599499e2c64e4a656ebbf0b6f2d771a3fe', '81fe1518fe1eed2c5b865422dce02f3bf4bd418a', '96b8ddc494ac1ff9599ae161e529ca6cc546b76d', '3db601bad02c04a72a3ddfaf5601b70d52486ab9', '0b3a0710031be11b2ef50437c7d9eb52c91d6a33', '1374617e135eaa772e52c9a2e8253f49483676d6', '27e5b014053b38d390eea8276f13c6db5bc26437', '1510cf4b8abea80b9f352325ca4c132887de21a0', '013cd20c0eaffb9cab80875a43086e0c3224fe20', '280bcd6c4f1e3b9f9abb32a0c510614e5128d9df', 'd020eb83f03a9f9c97e728355c4a9010fa65d8ef', '324fc9c732116fa81624faad07524039f193cede', '1682b8b395c7d7fa30b3cec961ac81fdda53e72d', '19d78d8c072b60294792c523742a8609accf3890', '79d16c323cc2584178fbfd2cf4095f2a350fefb4', 'a991f99ce61e95430608596ac369f7f4560be121', '8488adaa261f9a3be7e03acc2693ae4397b0eecd', '73d826d4c2363701b88e3e234fe3b8756c0f9671', 'b3ec8d4c50d29fb4d463c3411e32527abaa04861', '0b3cfbf79d50dae4a16584533227bb728e3522aa', '03ff3f8f4d5a700fbe8f3a3e63a39523c29bb60f', '0f6924633c56832b91836b69aedfd024681e427c', '6ee4f56acb077380d83467ebedb6a10d9792a3d4', '4b8089bc9b49f84de43acc2eb8900035f7d492b2']","Modeling sentence similarity all along is a challengeable task in the field of natural language processing (NLP), since ambiguity and variability of linguistic expression. Specifically, in the field of community question answering (CQA), homologous hotspot is focusing on question retrieval. To get the most similar question compared with user's query, we proposed a question model building with Bidirectional Long Short-Term Memory (BLSTM) neural networks, which as well can be used in other fields, such as sentence similarity computation, paraphrase detection, question answering and so on. We evaluated our model in labeled Yahoo! Answers data, and results show that our method achieves significant improvement over existing methods without using external resources, such as WordNet or parsers.",['http://doi.ieeecomputersociety.org/10.1109/DSC.2016.13'],,,https://semanticscholar.org/paper/7fc5fe75e1b2386eb542f61fb8ad0295b0756a24,['DBLP'],Question Similarity Modeling with Bidirectional Long Short-Term Memory Neural Network,2016 IEEE First International Conference on Data Science in Cyberspace (DSC),2016.0
54473,,"[{'name': 'Toru Nakashika', 'ids': ['1720751']}]",10.21437/Interspeech.2018-1753,https://doi.org/10.21437/Interspeech.2018-1753,"['Artificial neural network', 'Deep learning', 'Experiment', 'Long short-term memory', 'RCA Spectra 70', 'Randomness extractor', 'Restricted Boltzmann machine', 'Speech coding', 'Statistical model', 'Teaching method']",85e2821569f5f75ed0166b834942d00e9f282ef1,[],,2529-2533,,"['8e3b24fbf04e869c1730da48d1a1b6af6aa16580', '388fb709da21f136c2f4cc3000e33658ca51d23f', '7b85d1c4caac5dfb7f5acd7504545bd6ee06f47d', '652b495ef232ffb300641781c8d19f0914122d60', '0f88de2ae3dc2ec1371d1e9f675b9670902b289f', '2d9e3f53fcdb548b0b3c4d4efb197f164fe0c381', '0228810a988f6b8f06337e14f564e2fd3f6e1056', '178631e0f0e624b1607c7a7a2507ed30d4e83a42', '15cf63f8d44179423b4100531db4bb84245aa6f1', '071b16f25117fb6133480c6259227d54fc2a5ea0', '5d90f06bb70a0a3dced62413346235c02b1aa086', '8c2cbb2f37a99dfdfabadb8a8a95ab23fb062cd6', '0b3cfbf79d50dae4a16584533227bb728e3522aa', '0b544dfe355a5070b60986319a3f51fb45d1348e', '55e6eb5ec219e7aa71018afddaf80b35aff53d0e', 'c62833cb5721351189d6897bfa093584951f3a93', '373f76633cc1f6c7a421e31c989842021a52fca4', '91f88cced4015d99e5234a45ddf0e127e53bdf21', '284b18d7196f608448ca3d9496bf220b1dfffcf5', '19a56027227690f7301494e94621f4486225e813', '272216c1f097706721096669d85b2843c23fa77d', '6de2b1058c5b717878cce4e7e50d3a372cc4aaa6']","In this paper, we propose a novel probabilistic model, namely long short-term Boltzmann memory (LSTBM), to represent sequential data like speech spectra. The LSTBM is an extension of a restricted Boltzmann machine (RBM) that has generative long short-term memory (LSTM) units. The original RBM automatically learns relationships between visible and hidden units and is widely used as a feature extractor, a generator, a classifier, a pre-training method of deep neural networks, etc. However, the RBM is not sufficient to represent sequential data because it assumes that each frame from sequential data is completely independent of the others. Unlike conventional RBMs, the LSTBM has connections over time via LSTM units and represents time dependencies in sequential data. Our speech coding experiments demonstrated that the proposed LSTBM outperformed the other conventional methods: an RBM and a temporal RBM.","['https://doi.org/10.21437/Interspeech.2018-1753', 'https://www.isca-speech.org/archive/Interspeech_2018/pdfs/1753.pdf']",,http://pdfs.semanticscholar.org/85e2/821569f5f75ed0166b834942d00e9f282ef1.pdf,https://semanticscholar.org/paper/85e2821569f5f75ed0166b834942d00e9f282ef1,['DBLP'],LSTBM: A Novel Sequence Representation of Speech Spectra Using Restricted Boltzmann Machine with Long Short-Term Memory,Interspeech,2018.0
55953,,"[{'name': 'Ryosuke Miyazaki', 'ids': ['8139127']}, {'name': 'Mamoru Komachi', 'ids': ['2936411']}]",,,"['Artificial neural network', 'Dictionary', 'Iterative method', 'Long short-term memory', 'Parse tree', 'Parsing', 'Recursive neural network', 'Statistical classification', 'Text corpus', 'Tree (data structure)']",a719dc7035180e763d917acef536ad7569323b75,[],CoRR,,abs/1704.00924,"['27e38351e48fe4b7da2775bf94341738bc4da07e', '0a10d64beb0931efdc24a28edaa91d539194b2e2', '0b3cfbf79d50dae4a16584533227bb728e3522aa', '4e88de2930a4435f737c3996287a90ff87b95c59', '0275420087c2f015794287a7d3204f40bf8dbacc', 'f1ee33068dfff064ef4018422a7fb1c6d6710711', 'b31173e364954fda6cab8dd37d48bf495659d2bf', '1101f2f30bc603d4b84f2ad922097b8595014322', '37eaa303f2d6167363c523c028fc06f16c46fb85', 'a0f00d5ea3727151b1c2fc8c407404f0c6641051', '65ad0e876216ea034b7958f016456e32666bc5c6', '8f8139b63a2fc0b3ae8413acaef47acd35a356e0', 'c829b63a3ae72a47e1953e1295826c7b2f93bf50', '1f6ba0782862ec12a5ec6d7fb608523d55b0c6ba', '1f600f213dbbd70f06093438855f39022957b4bf', '67156902beca9bc90b728c8d5dd4ac9d8b27d3a3', '3ca2ca20bfb056eba646b0ba887249afd2bd0ec1', 'da5cd00115f7ec108de8eebf071c5f3f19807df4', '03ff3f8f4d5a700fbe8f3a3e63a39523c29bb60f', '4f1fe957a29a2e422d4034f4510644714d33fb20', '6930a57178c6db9df3fa5314a9feaa59f426aa4b', '3bff03b7b0b0c4e8f6384dbb2a95e4338d156524', '0826c98d1b1513aa2f45e6654bb5075a58b64649']","Previous approaches to training syntaxbased sentiment classification models required phrase-level annotated corpora, which are not readily available in many languages other than English. Thus, we propose the use of tree-structured Long Short-Term Memory with an attention mechanism that pays attention to each subtree of the parse tree. Experimental results indicate that our model achieves the stateof-the-art performance in a Japanese sentiment classification task.","['https://arxiv.org/pdf/1704.00924v1.pdf', 'https://arxiv.org/pdf/1704.00924v2.pdf', 'http://arxiv.org/abs/1704.00924']",,http://pdfs.semanticscholar.org/a719/dc7035180e763d917acef536ad7569323b75.pdf,https://semanticscholar.org/paper/a719dc7035180e763d917acef536ad7569323b75,['DBLP'],Japanese Sentiment Classification using a Tree-Structured Long Short-Term Memory with Attention,ArXiv,2017.0
56977,,"[{'name': ""Sa'a D. A. Alzboun"", 'ids': ['52177939']}, {'name': 'Saia Khaled Tawalbeh', 'ids': ['52155575']}, {'name': 'Mohammad Al-Smadi', 'ids': ['1787655']}, {'name': 'Yaser Jararweh', 'ids': ['1781328']}]",10.1109/SNAMS.2018.8554623,https://doi.org/10.1109/SNAMS.2018.8554623,[],7553b574b5abd1dff8545bf18b65a6504a4f5cc0,[],"2018 Fifth International Conference on Social Networks Analysis, Management and Security (SNAMS)",135-140,,"['8dccf1749b25bf21d9208237fd2e68299615e4e0', '3e9c6c36f8330251d9e2ee52767d1923c86258e2', '4b7a0ba426690b08489a86038db161846ffcfaa9', '683e201783bf76ab99791a02e3763fd3ab8dad96', '1f9003cc4cf0822af2b80ffff5bf766f573b7a59', '6938196e63ff09c25d1e1366aaec7135a6720216', 'a1adf7e00a0c4134dbae5ad26662fa78e2ece055', '44f6dfbd3da5b3b8f3cace2132da2e051f3f610f', '551c3ca514b78b9649016b9086f9d7576e7e4886', '1058b84457615a98fadbb4afac59f2fa2bc2da98', '7044a87c6987554186471c2f9116aa53c1392be7', '2538e3eb24d26f31482c479d95d2e26c0e79b990', '1b1eed518d7f0c67874a5e6e018486feb3923732', '63bf72357989ee624fb24384c55a259554ebbd04', '4d03b9dca2b589b34a810766eebb583f96685278', '0891ed6ed64fb461bc03557b28c686f87d880c9a', 'a94e4fe6f475e047be5dcc9077f445e496240852', 'a5d3310e08f42981ed8d24fd8f20bb7394262aaa', 'c829b63a3ae72a47e1953e1295826c7b2f93bf50', 'aa8d7b5e6997e2699d7975d2240449661771c7b8', 'af88ce6116c2cd2927a4198745e99e5465173783', 'f5886c433084d1baaa24152cd3e4c555c79bfe4f', '9db13550bf48f335b6726d26ff90ecc40288dc0f', '10a4db59e81d26b2e0e896d3186ef81b4458b93f', '3999376a55116303cc6ae2519a02449c9516414c', '76cf53880cd5b2c0b7b6f5220553f1cd259ddaa6', 'abe98706825b4f9b1ce26c53add9ce097b1355d2', '8398dad69b531afd2587dbacc9b3154171d8fc17', 'da4cf77ef8d1a0f56ef14ec71957ba7056419fdb', '0c7f52c753a65ceaf3755e20b906ffd0c05c994a', 'e1b11add582bed8cc77ac667139f56feb87f4a7e', '27496a2ee337db705e7c611dea1fd8e6f41437c2', '22779b9189fda33abf84ed24d154bae69237ec0c']","Named entity recognition (NER) is considered as one of the important tasks of natural languages processing (NLP). This paper presents two approaches that were developed for Arabic named entity recognition (ANER). The first approach is based on a traditional machine learning method of using the conditional random fields (CRF) trained with predefined set of syntactic and morphological features. Whereas, the second approach is based on the bidirectional long short-term memory with a conditional random fields layer (Bi-LSTM-CRF). Both approaches were evaluated using a reference dataset for ANER. Evaluation results show that the Bi-LSTM-CRF deep neural network overcomes the traditional CRF model with 15% of enhancement based on the F1 measure.",['https://doi.org/10.1109/SNAMS.2018.8554623'],,,https://semanticscholar.org/paper/7553b574b5abd1dff8545bf18b65a6504a4f5cc0,['DBLP'],Using Bidirectional Long Short-Term Memory and Conditional Random Fields for Labeling Arabic Named Entities: A Comparative Study,"2018 Fifth International Conference on Social Networks Analysis, Management and Security (SNAMS)",2018.0
72687,,"[{'name': 'Rekia Kadari', 'ids': ['32508109']}, {'name': 'Yu Zhang', 'ids': ['41154301']}, {'name': 'Weinan Zhang', 'ids': ['8031058']}, {'name': 'Ting Liu', 'ids': ['50820242']}]",10.1017/S1351324917000250,https://doi.org/10.1017/S1351324917000250,['Long short-term memory'],9d8467c0ddd2a67291fe44b978533391cf8000eb,['4cbc2e6abd3650419cfa84b22018044126a1d8ad'],Natural Language Engineering,77-90,24,[],,['https://doi.org/10.1017/S1351324917000250'],,,https://semanticscholar.org/paper/9d8467c0ddd2a67291fe44b978533391cf8000eb,['DBLP'],CCG supertagging with bidirectional long short-term memory networks,Natural Language Engineering,2018.0
79950,,"[{'name': 'Savelie Cornegruta', 'ids': ['3468730']}, {'name': 'Robert Bakewell', 'ids': ['3468103']}, {'name': 'Samuel Withey', 'ids': ['34518931']}, {'name': 'Giovanni Montana', 'ids': ['1699650']}]",10.18653/v1/W16-6103,https://doi.org/10.18653/v1/W16-6103,"['Algorithm', 'Artificial neural network', 'Baseline (configuration management)', 'Dictionary', 'Information extraction', 'Long short-term memory', 'Marginal model', 'Named-entity recognition', 'Natural language processing', 'Network architecture', 'Parser', 'Recurrent neural network', 'Rule-based system']",b5602b44fd8d5e32eb2499f273effa9eb2f916fb,"['c562e95b7906066be4210d00c4f6187475e6e13a', '0c1f8ee9a17a9db0bf3a66dd4821f5f86cb046b4', '1ef7be119bc43220d0c8848fedba9383fcacfd24', '84a3478cf884b0cbba480c7c36dab565e778094b', 'b847d679e978880e82b88ac28853fa7dd45cefef', '84dc1a1081caa4fb157fd60bb490338a0a8bdbd9', '29b070d7df0fa7985debb9ef1a68d6d56a3c300a', '7e52558a880ebf0448a2b2776fb06910ad0816af', 'ac5a8980109915eac163f57e8115cef23299b461']",,17-27,,"['13cc3434664ed844478fe4e40c10b5d8ffda1b7c', '2538e3eb24d26f31482c479d95d2e26c0e79b990', '0825788b9b5a18e3dfea5b0af123b5e939a4f564', 'c7e244fdcd712e9a30285e7338c1008fa046c224', '33eb670999a59c5eca660b690e6dc8119d8dca64', '1406f6b5ed4034b72ed2dccc3fcfa4c5c0810924', '0b3cfbf79d50dae4a16584533227bb728e3522aa', '2006f8d01395dab714bdcdcfd1cebbe6d6276e35', 'ba18247cd3ce9f711eecc7296f1c3561dbfb6cc2', '50a0ec17eb8efb894f3797f957907d89b48fec99', 'e85a71c8cae795a1b2052a697d5e8182cc8c0655', '60a494b3a50be5d73fcdb982ad09e3bca3239a4b', 'c829b63a3ae72a47e1953e1295826c7b2f93bf50', '05aba481e8a221df5d8775a3bb749001e7f2525e', '656be864c06852c16d4e5abaf16364963c85510e', '41dee7ae96fa9e508364151ea8934874dfde4ada', '04e0fefb859f4b02b017818915a2645427bfbdb2', '2f83f6e1afadf0963153974968af6b8342775d82', '6868e5a083423ab983d15ed5bdaca8c2f4c58ba2', '014d67cc11778b6fb893585e458705bf2e762afb', '6d63938add159684a9aab5297f1453229337ca3b', '11449196bbc3cf6abd82d5e7563e42a90b2885c4', '0891ed6ed64fb461bc03557b28c686f87d880c9a', '1a07186bc10592f0330655519ad91652125cd907', '9a588ac51f41f332a3ed3da4de8c77e504c55f72', '0c7f52c753a65ceaf3755e20b906ffd0c05c994a', '2b5aadb2586707433beb21121677289d196e6144', 'bff427c18caa092afff57a400e353fde79254f22', '652d159bf64a70194127722d19841daa99a69b64', '2f598922f81e65c1f3ffbd8c2456d2e9dcd7124a', '5b117fb14e3622d8c675c1c97b8b29e175dea194', '052b1d8ce63b07fec3de9dbb583772d860b7c769', '7a65f23d990231d461418067c808b09d84c19b2c', '118c24e2e724b5dc34b12d9ffe0cae9a82844ecf', '009c21d27a05dbb82bfdca108898cd357b64c076', '46c5289c197feafd85168f0b0c8f1a97238277f2', '189da019d007c27601791717f792c90693285db7']","Motivated by the need to automate medical information extraction from free-text radiological reports, we present a bi-directional long short-term memory (BiLSTM) neural network architecture for modelling radiological language. The model has been used to address two NLP tasks: medical named-entity recognition (NER) and negation detection. We investigate whether learning several types of word embeddings improves BiLSTM’s performance on those tasks. Using a large dataset of chest x-ray reports, we compare the proposed model to a baseline dictionary-based NER system and a negation detection system that leverages the hand-crafted rules of the NegEx algorithm and the grammatical relations obtained from the Stanford Dependency Parser. Compared to these more traditional rule-based systems, we argue that BiLSTM offers a strong alternative for both our tasks.","['https://arxiv.org/pdf/1609.08409v1.pdf', 'http://arxiv.org/abs/1609.08409', 'http://arxiv.org/pdf/1609.08409v1.pdf', 'http://aclweb.org/anthology/W/W16/W16-6103.pdf', 'https://doi.org/10.18653/v1/W16-6103', 'http://anthology.aclweb.org/W/W16/W16-6103.pdf', 'http://www.aclweb.org/anthology/W/W16/W16-6103.pdf', 'http://wing.comp.nus.edu.sg/~antho/W/W16/W16-6103.pdf', 'http://aclweb.org/anthology/W16-6103', 'http://aclweb.org/anthology//W/W16/W16-6103.pdf']",,http://pdfs.semanticscholar.org/cdb4/dd4b4e1c082ff6dc737313b21c637e03c850.pdf,https://semanticscholar.org/paper/b5602b44fd8d5e32eb2499f273effa9eb2f916fb,['DBLP'],Modelling Radiological Language with Bidirectional Long Short-Term Memory Networks,Louhi@EMNLP,2016.0
